name,type,address,lat,lng,phone,hours
수원시외국인복지센터,welfare,경기도 수원시 팔달구 팔달로 198,37.2694,127.0146,031-246-1712,월-금 09:00-18:00
경기수원고용노동청,labor,경기도 수원시 영통구 도청로 30,37.2701,127.0543,1350,월-금 09:00-18:00
수원출입국·외국인청,welfare,경기도 수원시 영통구 도청로 30,37.2701,127.0543,1345,월-금 09:00-18:00
수원시다문화가족지원센터(권선),welfare,경기도 수원시 권선구 권선로 599,37.2548,127.0030,031-244-3997,월-금 09:00-18:00
수원시다문화가족지원센터(팔달),welfare,경기도 수원시 팔달구 향교로 107,37.2766,127.0098,031-257-3997,월-금 09:00-18:00
수원시 마을변호사(팔달구청),legal,경기도 수원시 팔달구 효원로 1,37.2764,127.0096,1899-3300,화 14:00-16:00
수원시 마을변호사(영통구청),legal,경기도 수원시 영통구 영통로 261,37.2467,127.0604,1899-3300,수 14:00-16:00
한국산업인력공단 경기남부지사,welfare,경기도 수원시 팔달구 효원로 1,37.2764,127.0096,031-240-1700,월-금 09:00-18:00
경기도외국인인권지원센터,welfare,경기도 수원시 팔달구 중부대로 211,37.2754,127.0165,031-235-0067,월-금 09:00-18:00
수원시 권선구 노동상담소,labor,경기도 수원시 권선구 권선로 185,37.2528,127.0082,031-228-8200,월-금 09:00-18:00
